/Enable X,/Enable Y,/A2 X,/A2 Y,/A1 X,/A1 Y,/A0 X,/A0 Y,/D7 X,/D7 Y,/D6 X,/D6 Y,/D5 X,/D5 Y,/D4 X,/D4 Y,/D3 X,/D3 Y,/D2 X,/D2 Y,/D1 X,/D1 Y,/D0 X,/D0 Y
7.752002685699978e-08,0.4005371399957073,7.752002685699978e-08,0,7.752002685699978e-08,1,7.752002685699978e-08,1,7.752002685699978e-08,7.874584142296581e-05,7.752002685699978e-08,1.567326075739661e-05,7.752002685699978e-08,3.176728826274485e-05,7.752002685699978e-08,8.028822134993423e-06,7.752002685699978e-08,-0.000670302476324292,7.752002685699978e-08,7.732124037701644e-06,7.752002685699978e-08,7.872590869342049e-05,7.752002685699978e-08,1.220787513741058e-05
7.75235356881123e-08,0.4707137622460982,7.75235356881123e-08,0,7.75235356881123e-08,1,7.75235356881123e-08,1,7.75235356881123e-08,7.493633779723097e-05,7.75235356881123e-08,-3.834064811424056e-06,7.75235356881123e-08,2.480249165050392e-05,7.75235356881123e-08,-8.25738083902396e-06,7.75235356881123e-08,-0.001818300085823509,7.75235356881123e-08,-5.025485790260741e-05,7.75235356881123e-08,7.394801705340969e-05,7.75235356881123e-08,-8.81386582759792e-06
7.752634755741518e-08,0.5269511483036747,7.752634755741518e-08,0,7.752634755741518e-08,1,7.752634755741518e-08,1,7.752634755741518e-08,7.27810353862531e-05,7.752634755741518e-08,-2.21242199033482e-05,7.752634755741518e-08,1.689412082265997e-05,7.752634755741518e-08,-2.259377771342755e-05,7.752634755741518e-08,-0.003470934494203972,7.752634755741518e-08,-0.00010560016091236,7.752634755741518e-08,7.020719122706793e-05,7.752634755741518e-08,-2.722855391339325e-05
7.752968641024195e-08,0.5937282048390823,7.752968641024195e-08,0,7.752968641024195e-08,1,7.752968641024195e-08,1,7.752968641024195e-08,6.673076354747668e-05,7.752968641024195e-08,-3.099708497635109e-05,7.752968641024195e-08,5.616675661247469e-06,7.752968641024195e-08,-2.763608298991784e-05,7.752968641024195e-08,-0.006321782602493672,7.752968641024195e-08,-0.0001251950733651539,7.752968641024195e-08,6.390573218353775e-05,7.752968641024195e-08,-3.383806083740349e-05
7.753125966104764e-08,0.6251932209528797,7.753125966104764e-08,0,7.753125966104764e-08,1,7.753125966104764e-08,1,7.753125966104764e-08,6.155863245511917e-05,7.753125966104764e-08,-2.255626632446298e-05,7.753125966104764e-08,-2.662577840557698e-09,7.753125966104764e-08,-1.960204002739413e-05,7.753125966104764e-08,-0.007819275485270174,7.753125966104764e-08,-7.861851415832778e-05,7.753125966104764e-08,6.025629028090726e-05,7.753125966104764e-08,-2.198019389415323e-05
7.753288167039351e-08,0.6576334078701724,7.753288167039351e-08,0,7.753288167039351e-08,1,7.753288167039351e-08,1,7.753288167039351e-08,5.516163601789111e-05,7.753288167039351e-08,-1.220785336887696e-05,7.753288167039351e-08,-4.810897562587191e-06,7.753288167039351e-08,-1.140749468647101e-05,7.753288167039351e-08,-0.009076733811529496,7.753288167039351e-08,-1.375571150245187e-05,7.753288167039351e-08,5.54660483286854e-05,7.753288167039351e-08,-9.165034751739361e-06
7.75348399172735e-08,0.6967983454699774,7.75348399172735e-08,0,7.75348399172735e-08,1,7.75348399172735e-08,1,7.75348399172735e-08,5.409458812227914e-05,7.75348399172735e-08,9.481597417087557e-07,7.75348399172735e-08,-6.63865299457671e-07,7.75348399172735e-08,-1.516356956853987e-07,7.75348399172735e-08,-0.008666567768228566,7.75348399172735e-08,4.553598059025874e-05,7.75348399172735e-08,5.544340264632636e-05,7.75348399172735e-08,4.310936804888843e-06
7.753646585745857e-08,0.7293171491713756,7.753646585745857e-08,0,7.753646585745857e-08,1,7.753646585745857e-08,1,7.753646585745857e-08,7.117114109382418e-05,7.753646585745857e-08,2.676722415418486e-05,7.753646585745857e-08,2.355390290858018e-05,7.753646585745857e-08,2.618482865969597e-05,7.753646585745857e-08,-0.004454528201239156,7.753646585745857e-08,9.117867021491991e-05,7.753646585745857e-08,7.285928172372619e-05,7.753646585745857e-08,2.96026003841661e-05
7.753858842712017e-08,0.7717685424033933,7.753858842712017e-08,0,7.753858842712017e-08,1,7.753858842712017e-08,1,7.753858842712017e-08,0.0001432028143705235,7.753858842712017e-08,0.0001097630571636164,7.753858842712017e-08,0.0001076691669243803,7.753858842712017e-08,0.0001120689269575,7.753858842712017e-08,0.01188516598761771,7.753858842712017e-08,0.0001774185075290557,7.753858842712017e-08,0.0001450391990475998,7.753858842712017e-08,0.0001118440531131039
7.754115958481276e-08,0.8231916962553121,7.754115958481276e-08,0,7.754115958481276e-08,1,7.754115958481276e-08,1,7.754115958481276e-08,0.0003430813151134333,7.754115958481276e-08,0.0003242082733252546,7.754115958481276e-08,0.0003234962673508592,7.754115958481276e-08,0.000331424707855735,7.754115958481276e-08,0.05918533234573265,7.754115958481276e-08,0.0003795815166481351,7.754115958481276e-08,0.0003447953950410669,7.754115958481276e-08,0.0003267759061695484
7.754369350294232e-08,0.8738700588465337,7.754369350294232e-08,0,7.754369350294232e-08,1,7.754369350294232e-08,1,7.754369350294232e-08,0.0006277240693177198,7.754369350294232e-08,0.0006226216402734462,7.754369350294232e-08,0.0006222258894650592,7.754369350294232e-08,0.0006343090044224572,7.754369350294232e-08,0.1386674544076053,7.754369350294232e-08,0.0006605909769401816,7.754369350294232e-08,0.0006295962672906278,7.754369350294232e-08,0.0006281556017482565
