/BL X,/BL Y,/BL_b X,/BL_b Y,/word X,/word Y,/Q X,/Q Y,/Q_b X,/Q_b Y
1.243125e-08,0.511574860724784,1.243125e-08,0.4333845579259577,1.243125e-08,0.6250000000000221,1.243125e-08,1.003287538131466,1.243125e-08,0.009517455205614977
1.245e-08,0.5681908146968961,1.245e-08,0.1874813069970882,1.245e-08,1,1.245e-08,0.9851675385914166,1.245e-08,0.01966499329069336
1.245834403201663e-08,0.5906099849594275,1.245834403201663e-08,0.092219013936259,1.245834403201663e-08,1,1.245834403201663e-08,0.9818272972661199,1.245834403201663e-08,0.01204095968611944
1.246978211983173e-08,0.6160475123613492,1.246978211983173e-08,0.01632954449287934,1.246978211983173e-08,1,1.246978211983173e-08,0.9831651554398311,1.246978211983173e-08,0.002814520653379077
1.247877489338453e-08,0.6305710339860116,1.247877489338453e-08,-0.001103903249733141,1.247877489338453e-08,1,1.247877489338453e-08,0.9872422133671933,1.247877489338453e-08,0.0001395772010811397
1.249676044049012e-08,0.6502399468426251,1.249676044049012e-08,0.0001159727731456386,1.249676044049012e-08,1,1.249676044049012e-08,0.993026886171768,1.249676044049012e-08,-2.265694405632322e-05
1.251252990386065e-08,0.6618289235735982,1.251252990386065e-08,0.0003532835553408489,1.251252990386065e-08,1,1.251252990386065e-08,0.9946005863992642,1.251252990386065e-08,7.506900088942635e-06
1.253632102087848e-08,0.6726372741620332,1.253632102087848e-08,-6.573301276318689e-05,1.253632102087848e-08,1,1.253632102087848e-08,0.9953941580000775,1.253632102087848e-08,5.286215625181052e-05
1.258390325491414e-08,0.6840953675431566,1.258390325491414e-08,-5.071050349924689e-05,1.258390325491414e-08,1,1.258390325491414e-08,0.996713493159183,1.258390325491414e-08,3.648116387531641e-06
1.266383205125246e-08,0.6880652144829943,1.266383205125246e-08,2.255853305914522e-05,1.266383205125246e-08,1,1.266383205125246e-08,0.9970586241786545,1.266383205125246e-08,6.150792998436136e-06
1.277900810703891e-08,0.6888178421072024,1.277900810703891e-08,1.011780589894182e-05,1.277900810703891e-08,1,1.277900810703891e-08,0.9970101496798582,1.277900810703891e-08,4.326009693065358e-06
1.294492158341476e-08,0.6880319604318306,1.294492158341476e-08,2.530621966221301e-06,1.294492158341476e-08,1,1.294492158341476e-08,0.9969836756523102,1.294492158341476e-08,4.832332644135128e-06
1.32496658438543e-08,0.6881085178308564,1.32496658438543e-08,5.76322956277245e-06,1.32496658438543e-08,1,1.32496658438543e-08,0.9969908840351249,1.32496658438543e-08,4.590745870960022e-06
1.385915436473339e-08,0.6882999175250674,1.385915436473339e-08,6.246879369577136e-06,1.385915436473339e-08,1,1.385915436473339e-08,0.9969410495936049,1.385915436473339e-08,4.519766239052767e-06
1.43795771823667e-08,0.6881226671724546,1.43795771823667e-08,6.069622587661825e-06,1.43795771823667e-08,1,1.43795771823667e-08,0.9969469285019199,1.43795771823667e-08,4.604120138699084e-06
1.49e-08,0.6880740126040914,1.49e-08,6.01764496424874e-06,1.49e-08,1,1.49e-08,0.9969439938564657,1.49e-08,4.562938345810846e-06
1.4925e-08,0.672285069875695,1.4925e-08,-0.009762270641331304,1.4925e-08,0.4999999999999625,1.4925e-08,0.9977560283216109,1.4925e-08,-0.0008854496715692315
1.495e-08,0.6285527189056616,1.495e-08,0.009395643945635204,1.495e-08,0,1.495e-08,0.9959674042975994,1.495e-08,-0.0002756743833393221
1.49579108555873e-08,0.6132036271429214,1.49579108555873e-08,0.02760008671549605,1.49579108555873e-08,0,1.49579108555873e-08,0.9982590284085145,1.49579108555873e-08,0.0001480760957964373
1.497110357509502e-08,0.5905904473738092,1.497110357509502e-08,0.05717100635250699,1.497110357509502e-08,0,1.497110357509502e-08,0.9997438780471769,1.497110357509502e-08,0.0001126008058652465
1.498155844504154e-08,0.5763569214370583,1.498155844504154e-08,0.07949480340224994,1.498155844504154e-08,0,1.498155844504154e-08,0.9998389918548777,1.498155844504154e-08,7.382005263269209e-05
1.5e-08,0.5573598759677473,1.5e-08,0.1166378678506985,1.5e-08,0,1.5e-08,0.999676070764051,1.5e-08,7.537332291666216e-05
1.503688310991693e-08,0.538256250617825,1.503688310991693e-08,0.179955458864368,1.503688310991693e-08,0,1.503688310991693e-08,0.9998181533857859,1.503688310991693e-08,6.643568758669209e-05
1.51e-08,0.5149967356849011,1.51e-08,0.2754435348873499,1.51e-08,0,1.51e-08,0.9999113244362029,1.51e-08,4.680948698234907e-05
1.516143885179581e-08,0.5081143449682513,1.516143885179581e-08,0.3435585626832554,1.516143885179581e-08,0,1.516143885179581e-08,0.9999337598087316,1.516143885179581e-08,4.10589771498062e-05
1.519215827769372e-08,0.504960183549692,1.519215827769372e-08,0.3747742049189799,1.519215827769372e-08,0,1.519215827769372e-08,0.9999397573592832,1.519215827769372e-08,3.376721485264111e-05
1.525359712948953e-08,0.5010115234587776,1.525359712948953e-08,0.42440016938081,1.525359712948953e-08,0,1.525359712948953e-08,0.9999528532851543,1.525359712948953e-08,2.538100186954936e-05
1.537647483308115e-08,0.4982918963746658,1.537647483308115e-08,0.478057273439786,1.537647483308115e-08,0,1.537647483308115e-08,0.9999624140367724,1.537647483308115e-08,1.068949095033228e-05
1.543650217797872e-08,0.4978623041606335,1.543650217797872e-08,0.4888475495216978,1.543650217797872e-08,0,1.543650217797872e-08,0.9999631792815254,1.543650217797872e-08,7.158351148191887e-06
1.555655686777387e-08,0.4976890069904253,1.555655686777387e-08,0.4958196516698429,1.555655686777387e-08,0,1.555655686777387e-08,0.999963536944248,1.555655686777387e-08,4.887976461056721e-06
1.56036284072779e-08,0.4976659084761716,1.56036284072779e-08,0.4967906930713121,1.56036284072779e-08,0,1.56036284072779e-08,0.9999636894277795,1.56036284072779e-08,4.527698557687568e-06
1.569777148628598e-08,0.4976520749858144,1.569777148628598e-08,0.4973776800824633,1.569777148628598e-08,0,1.569777148628598e-08,0.9999637586745906,1.569777148628598e-08,4.282891170119217e-06
