/word X,/word Y,/BL X,/BL Y,/BL_b X,/BL_b Y,/Q X,/Q Y,/Q_b X,/Q_b Y
5.161498789587811e-09,0,5.161498789587811e-09,1,5.161498789587811e-09,0,5.161498789587811e-09,4.104284423645736e-05,5.161498789587811e-09,0.8797996447594489
5.193421536552334e-09,0,5.193421536552334e-09,1,5.193421536552334e-09,0,5.193421536552334e-09,6.132003807009668e-07,5.193421536552334e-09,0.878845540154616
5.257267030481379e-09,0,5.257267030481379e-09,1,5.257267030481379e-09,0,5.257267030481379e-09,8.067134182091428e-05,5.257267030481379e-09,0.8794516857204728
5.342148600232421e-09,0,5.342148600232421e-09,1,5.342148600232421e-09,0,5.342148600232421e-09,4.146116641877239e-05,5.342148600232421e-09,0.8792703064609038
5.511911739734506e-09,0,5.511911739734506e-09,1,5.511911739734506e-09,0,5.511911739734506e-09,3.295902378849065e-05,5.511911739734506e-09,0.8772572722516397
5.851438018738675e-09,0,5.851438018738675e-09,1,5.851438018738675e-09,0,5.851438018738675e-09,4.667475384614166e-05,5.851438018738675e-09,0.8767809529948367
6.475318636952743e-09,0,6.475318636952743e-09,1,6.475318636952743e-09,0,6.475318636952743e-09,4.022678558114737e-05,6.475318636952743e-09,0.8809014285317011
6.937659318476371e-09,0,6.937659318476371e-09,1,6.937659318476371e-09,0,6.937659318476371e-09,3.633142732581491e-05,6.937659318476371e-09,0.879877406199992
7.4e-09,0,7.4e-09,1,7.4e-09,0,7.4e-09,4.023217969875708e-05,7.4e-09,0.876473421295986
7.4125e-09,0.2499999999999939,7.4125e-09,1,7.4125e-09,0,7.4125e-09,0.0006617790552746083,7.4125e-09,0.8765500557698903
7.43125e-09,0.624999999999989,7.43125e-09,1,7.43125e-09,0,7.43125e-09,0.01484515571451952,7.43125e-09,0.8419930320102118
7.45e-09,0.9999999999999841,7.45e-09,1,7.45e-09,0,7.45e-09,0.06452116620342885,7.45e-09,0.6737710655465278
7.455235544548568e-09,1,7.455235544548568e-09,1,7.455235544548568e-09,0,7.455235544548568e-09,0.08418935801331077,7.455235544548568e-09,0.6243879292199159
7.465706633645705e-09,1,7.465706633645705e-09,1,7.465706633645705e-09,0,7.465706633645705e-09,0.1595058935780604,7.465706633645705e-09,0.5350008126400732
7.474424485244904e-09,1,7.474424485244904e-09,1,7.474424485244904e-09,0,7.474424485244904e-09,0.3409215193487035,7.474424485244904e-09,0.4020575377448061
7.484959319177345e-09,1,7.484959319177345e-09,1,7.484959319177345e-09,0,7.484959319177345e-09,0.6669167794184686,7.484959319177345e-09,0.06753088590109368
7.487230325936938e-09,1,7.487230325936938e-09,1,7.487230325936938e-09,0,7.487230325936938e-09,0.7536929641842786,7.487230325936938e-09,0.03194092101860631
7.491772339456125e-09,1,7.491772339456125e-09,1,7.491772339456125e-09,0,7.491772339456125e-09,0.891702034877363,7.491772339456125e-09,0.005174894983583271
7.497166751906858e-09,1,7.497166751906858e-09,1,7.497166751906858e-09,0,7.497166751906858e-09,0.9706154882623691,7.497166751906858e-09,0.001117622384439932
7.503789218610228e-09,1,7.503789218610228e-09,1,7.503789218610228e-09,0,7.503789218610228e-09,0.9947188151946098,7.503789218610228e-09,0.0008033924313469846
7.510642665666518e-09,1,7.510642665666518e-09,1,7.510642665666518e-09,0,7.510642665666518e-09,1.001366953216993,7.510642665666518e-09,4.523739369426049e-05
7.519210885604723e-09,1,7.519210885604723e-09,1,7.519210885604723e-09,0,7.519210885604723e-09,0.9999329189601455,7.519210885604723e-09,-0.0001140852107483675
7.532198300936133e-09,1,7.532198300936133e-09,1,7.532198300936133e-09,0,7.532198300936133e-09,0.9997031852619761,7.532198300936133e-09,8.908196927673279e-06
7.552520817939027e-09,1,7.552520817939027e-09,1,7.552520817939027e-09,0,7.552520817939027e-09,1.000065615074383,7.552520817939027e-09,1.036010528998902e-05
7.593165851944815e-09,1,7.593165851944815e-09,1,7.593165851944815e-09,0,7.593165851944815e-09,1.000027348512543,7.593165851944815e-09,-1.663084473865458e-06
7.674455919956392e-09,1,7.674455919956392e-09,1,7.674455919956392e-09,0,7.674455919956392e-09,0.9999233696370891,7.674455919956392e-09,8.378076295202327e-06
7.837036055979545e-09,1,7.837036055979545e-09,1,7.837036055979545e-09,0,7.837036055979545e-09,0.999958621893884,7.837036055979545e-09,3.978582932496403e-06
8.162196328025851e-09,1,8.162196328025851e-09,1,8.162196328025851e-09,0,8.162196328025851e-09,0.9999697339974106,8.162196328025851e-09,3.201425800411381e-06
8.812516872118462e-09,1,8.812516872118462e-09,1,8.812516872118462e-09,0,8.812516872118462e-09,0.9999643939499725,8.812516872118462e-09,3.60578029537114e-06
9.356258436059231e-09,1,9.356258436059231e-09,1,9.356258436059231e-09,0,9.356258436059231e-09,0.9999639509989244,9.356258436059231e-09,3.647546055675421e-06
9.899999999999999e-09,1,9.899999999999999e-09,1,9.899999999999999e-09,0,9.899999999999999e-09,0.9999641631105307,9.899999999999999e-09,3.627370810894503e-06
9.925e-09,0.5000000000000286,9.925e-09,1,9.925e-09,0,9.925e-09,0.9983800373073659,9.925e-09,-0.00052113055257891
9.95e-09,2.420286193682841e-14,9.95e-09,1,9.95e-09,0,9.95e-09,0.9962184032290192,9.95e-09,-0.0002950987870350725
9.957902366677131e-09,0,9.957902366677131e-09,1,9.957902366677131e-09,0,9.957902366677131e-09,0.998641836988059,9.957902366677131e-09,7.165527938195597e-05
